id,preco
0,82931.00655862711
1,78587.13647921266
2,205002.0902183054
3,92774.12279536393
4,107719.48173443186
5,70191.00615379524
6,148352.89627082733
7,196480.42077488205
8,237122.58974693762
9,309303.2445456235
10,153182.21221181483
11,75468.08277394673
12,99317.72111933718
13,221074.36714731785
14,194479.2841240242
15,80211.30762529535
16,189570.23742359094
17,122257.51206608373
18,194895.3222314172
19,88220.3479904017
20,98176.28445551719
21,98521.21132136679
22,215101.63093524834
23,119413.44755758454
24,131315.87227505815
25,61015.538878674386
26,253309.58471729988
27,68978.16642568447
28,158923.56947700036
29,166954.10516355882
30,160316.7150732785
31,60228.736753691475
32,82880.13194217416
33,95824.49153511341
34,91488.05849202012
35,87326.13585535694
36,217353.54608536532
37,389730.1399560867
38,62769.341369981834
39,109263.40199788721
40,129696.79028217515
41,149884.03221331624
42,62282.417752461784
43,90101.29859191188
44,141728.46846687174
45,557430.0323112417
46,50125.665850113495
47,76394.12623014941
48,160278.51004838632
49,92181.98428955916
50,75851.16064196818
51,91298.4140217815
52,68008.28490181519
53,202019.30238425353
54,121994.73253434674
55,141347.42409607786
56,254962.8780840126
57,138138.16199319393
58,72419.12230507843
59,125997.54590052897
60,68521.8445239338
61,128946.49911380874
62,118487.41888353734
63,81849.17775829213
64,109087.79516016597
65,43298.98096234931
66,98814.19373662653
67,57208.76474493725
68,136089.46013210353
69,462293.0693191032
70,74191.03635252593
71,178674.13664245667
72,113945.19222208117
73,134767.63549891967
74,105055.47654408083
75,163723.31749264774
76,95167.99717702279
77,74540.22548446317
78,116851.62663156934
79,76460.74581698718
80,106608.09715343227
81,52733.73905911535
82,296742.2715305835
83,160694.49971100577
84,122601.61788517272
85,72871.92435116264
86,335770.3746755785
87,262184.17122997507
88,79501.22080294242
89,89085.21104995611
90,124583.05651764067
91,96804.59354592164
92,82173.64373417918
93,88988.84241300139
94,86415.36976834797
95,98718.08119673004
96,148425.9984991142
97,143360.53851916525
98,69929.00998938542
99,68759.75263314095
100,70229.98645671285
101,128099.14641241037
102,127873.37667069613
103,60142.6477750907
104,57678.318726541
105,88503.93337485989
106,119826.23277252768
107,141401.6393142499
108,56327.04517521869
109,84110.61684420255
110,105211.62225248288
111,226492.41334838705
112,52753.11591890934
113,84392.43384588313
114,303908.871693769
115,119717.67343955503
116,110248.54458473442
117,209413.5577150795
118,122285.6971585338
119,324627.4595238248
120,104532.43180694952
121,97027.49524570038
122,86141.71117167591
123,136817.61969606034
124,135802.7457043134
125,43446.42915561183
126,89418.18352252628
127,117433.67621474012
128,71622.19259072575
129,135170.7204172893
130,344787.2165726175
131,353595.90734156256
132,117762.05787840762
133,169725.18145317215
134,130713.08005844434
135,145128.867985394
136,291925.3138642462
137,218753.70102171414
138,68359.76279651621
139,162238.1836558662
140,82377.13410774806
141,172318.4823385821
142,124005.42387029833
143,111522.1927314384
144,77680.2379295877
145,130018.62715925415
146,67148.9101814858
147,265021.6794600178
148,77945.7445055059
149,149980.3828215519
150,294057.57030463556
151,154122.79458061908
152,69572.81936665499
153,142203.5522992778
154,94126.05458344643
155,122166.33138876944
156,97487.22778751543
157,137492.80944533442
158,75488.69857565158
159,113880.61141762634
160,186979.43351373394
161,72643.12694507201
162,371775.3416929357
163,224231.6303294089
164,69632.49473683393
165,88708.8968837999
166,145993.55195934788
167,82022.60684020426
168,147821.2808290237
169,71679.7961950176
170,66247.7874614299
171,67606.78079538095
172,102328.17845742095
173,123888.07595777558
174,94849.81530217883
175,69295.08966844856
176,265971.9609892656
177,154111.46046584335
178,125353.7878310452
179,43042.20218652852
180,145686.25832254993
181,152715.85115313547
182,113188.06296802685
183,186400.58342350007
184,225567.24407368773
185,163200.18336487285
186,117236.80820291737
187,148212.89102870345
188,92941.71342030118
189,129012.188293365
190,80347.67931831491
191,106305.51411732798
192,123494.03090386286
193,130892.00302935866
194,215821.0253538841
195,246427.0442608233
196,248798.43553529508
197,104833.15058349575
198,75399.87502725808
199,267163.66023209644
200,69132.40299199494
201,70686.92942880616
202,121315.90285182266
203,95457.88596755423
204,190968.59477846875
205,209509.7778852551
206,199971.2053762287
207,115087.3003134269
208,356862.58641110064
209,314129.92680547555
210,92986.04144091893
211,77237.66641049397
212,91980.0209824572
213,194726.94027149203
214,125647.13602881944
215,169218.13714311452
216,62039.022600190074
217,349859.1112825259
218,90367.86254338009
219,81168.07274548152
220,253655.19866959096
221,494273.1344058281
222,351062.9543471498
223,47613.56953645733
224,85800.57451334721
225,47581.158503447215
226,141267.67353559064
227,137027.68667145903
228,152005.65786991495
229,94334.3528115745
230,59918.550961477136
231,163880.42844318834
232,161052.80511704437
233,35157.61862485368
234,71519.7850228847
235,197847.8393166386
236,82045.43555911386
237,113075.08435935064
238,54129.258030479985
239,63234.23635609254
240,78803.81373794925
241,69278.3084214708
242,164052.7464366808
243,95404.92666771627
244,122980.82581972012
245,83667.24032317469
246,34640.608481481555
247,131308.19071976675
248,374074.02195789124
249,131335.22395299003
250,159169.7886434352
251,58702.69064995564
252,439173.4063882918
253,130598.45368799554
254,52177.84187425506
255,242362.38480148776
256,72101.79999360879
257,158131.62719860292
258,147867.61806282934
259,132814.86151014437
260,103099.38619595603
261,74526.87807191303
262,137073.9908547907
263,49333.97734534707
264,183886.6097860179
